LIN;100
SHT;200
DNC;300
LLL;10
LOL;0
COM;33176
WTF;3
FKU;3
AAA;3

ELE;817
RSS;288
QSS;73
WXX;1407
WXO;196
FNO;37
WAT;37
ZRK;1354
